Region	idx1	idx2	group
Brain-Right-FrontalLobe-RSupFrontal	27	27	11
Brain-Right-ParietalLobe-RSupramarg	32	32	11
Brain-Right-TemporalLobe-RFusiform	35	35	11
Brain-Right-TemporalLobe-RInfTemporal	36	36	11
Brain-Right-TemporalLobe-RMidTemporal	37	37	11
Brain-Right-TemporalLobe-RSupTemporal	38	38	11
Brain-Left-FrontalLobe-LMedOrbFrontal	61	61	12
Brain-Left-Cingulate-LRostAntCing	47	47	12
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	12
Brain-Left-FrontalLobe-LParsOrb	51	51	12
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	12
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	12
Brain-Right-FrontalLobe-RMedOrbFrontal	67	67	12
Brain-Left-FrontalLobe-LParsOper	50	50	13
Brain-Left-Cingulate-LIsthmCing	7	7	13
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	13
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	13
Brain-Left-FrontalLobe-LParsOrb	51	51	13
Brain-Left-FrontalLobe-LParsTriang	52	52	13
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	13
Brain-Left-FrontalLobe-LSupFrontal	10	10	13
Brain-Left-ParietalLobe-LInfParietal	12	12	13
Brain-Left-ParietalLobe-LPrecuneus	13	13	13
Brain-Left-ParietalLobe-LSupramarg	15	15	13
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	13
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	13
Brain-Left-TemporalLobe-LBanksSTS	18	18	13
Brain-Left-TemporalLobe-LFusiform	19	19	13
Brain-Left-TemporalLobe-LInfTemporal	20	20	13
Brain-Left-TemporalLobe-LMidTemporal	22	22	13
Brain-Left-TemporalLobe-LSupTemporal	23	23	13
Brain-Left-TemporalLobe-LTransvTemporal	62	62	13
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	13
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	13
Brain-Right-FrontalLobe-RMedOrbFrontal	67	67	13
Brain-Right-FrontalLobe-RParsOper	58	58	13
Brain-Right-FrontalLobe-RParsOrb	68	68	13
Brain-Right-FrontalLobe-RParsTriang	59	59	13
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	13
Brain-Right-FrontalLobe-RSupFrontal	27	27	13
Brain-Right-ParietalLobe-RInfParietal	29	29	13
Brain-Right-ParietalLobe-RSupramarg	32	32	13
Brain-Right-SensoryMotorCortex-RParacentral	63	63	13
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	13
Brain-Right-TemporalLobe-RMidTemporal	37	37	13
Brain-Right-TemporalLobe-RSupTemporal	38	38	13
Brain-Left-FrontalLobe-LParsOrb	51	51	14
Brain-Left-Cingulate-LIsthmCing	7	7	14
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	14
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	14
Brain-Left-FrontalLobe-LMedOrbFrontal	61	61	14
